head,quality_function,mutual_info
0,0.24515121630506245,
1,0.19173241288625906,
2,0.20348454963839577,
0-1,,0.0882906825743082
0-2,,0.2421258143133214
1-2,,0.2706613547934035
0,0.3029257067718606,
1,0.0,
2,0.0,
0-1,,0.05366549016760352
0-2,,0.17417308844578522
1-2,,0.09396170242403105
0,0.3732741617357002,
1,0.07330703484549639,
2,0.049926035502958585,
0-1,,0.31370304211299477
0-2,,0.03964282949043509
1-2,,-0.040582165080872826
0,0.35601577909270216,
1,0.0,
2,0.0,
0-1,,-0.1378804907833735
0-2,,-0.1529122276895429
1-2,,-0.11673834520455796
0,0.37623274161735704,
1,0.11534352399737016,
2,0.3658777120315582,
0-1,,-0.09756097560975807
0-2,,-0.09756097560975807
1-2,,-0.07142857142857673
0,0.37146614069691,
1,0.19604700854700857,
2,0.3036242603550296,
0-1,,-0.28571428571428514
0-2,,9.610279511444742e-16
1-2,,1.2813706015259653e-15
0,0.37146614069691,
1,0.3113905325443787,
2,0.37623274161735704,
0-1,,-0.28571428571428514
0-2,,9.610279511444742e-16
1-2,,1.2813706015259653e-15
0,0.37146614069691,
1,0.3113905325443787,
2,0.37623274161735704,
0-1,,-0.28571428571428514
0-2,,9.610279511444742e-16
1-2,,1.2813706015259653e-15
0,0.37146614069691,
1,0.3113905325443787,
2,0.37623274161735704,
0-1,,-0.28571428571428514
0-2,,9.610279511444742e-16
1-2,,1.2813706015259653e-15
0,0.37146614069691,
1,0.2980769230769231,
2,0.37623274161735704,
0-1,,-0.285714285714285
0-2,,9.610279511444742e-16
1-2,,2.5627412030519274e-15
0,0.37146614069691,
1,0.3113905325443787,
2,0.37623274161735704,
0-1,,-0.28571428571428514
0-2,,9.610279511444742e-16
1-2,,1.2813706015259653e-15
0,0.37146614069691,
1,0.3113905325443787,
2,0.37623274161735704,
0-1,,-0.28571428571428514
0-2,,9.610279511444742e-16
1-2,,1.2813706015259653e-15
0,0.37146614069691,
1,0.3113905325443787,
2,0.37623274161735704,
0-1,,-0.28571428571428514
0-2,,9.610279511444742e-16
1-2,,1.2813706015259653e-15
