entity_name,entity_type,description,entity_id
rookie of the year,Concept,The title given to the NBA's best first-year player,0af3ad90-c247-4043-94a1-ac5f1d355e91
bet,Concept,The act of placing a wager on an event,ce63198f-dd2f-4af0-9c73-0ec2b32534d1
mg,Concept,A unit of measure for mass,d5c752d6-0916-428d-bc6f-f24c2ea3065c
m,Concept,A unit of measure for length,f229f093-c470-4014-9692-cb93b09e0907
deposit,Concept,The act of putting money into a bank account,45002f70-bbd5-454b-be05-fc3e08250a90
withdrawal,Concept,The act of taking money out of a bank account,d55b8c16-8ebe-48ca-adb1-da2b3820a303
customer service,Concept,The assistance provided to customers by a company,b7018520-9c01-42ef-bf7b-6e69ad66da82
caesar ##s sports ##book,Organization,A sportsbook operated by Caesars Entertainment,373554ec-ed77-4b8d-96c0-f7ce1fe906ae
caesar ##s,Organization,A casino and hospitality company,7a7c27e1-dbde-4cca-a956-bf5289674b2e
nba rot ##y betting,Event,Bets placed on the NBA Rookie of the Year award,a2a24f17-70ac-4d8e-a385-04b219736f81
odds,Concept,The probability or likelihood of an event occurring,238bf070-e55a-49d7-a5ba-71238ee674ff
nba,Concept,"The National Basketball Association, a professional basketball league",56481fab-1a9f-4bfd-bb7c-dc56580b2314
rot ##y,Concept,A nickname for the NBA Rookie of the Year award,6136ae49-4635-4a4a-82c3-30b6f5ce3f53
promo ##s,Event,Special offers or promotions provided by a company,ef4d8d5c-96f9-4dc9-8b1c-5873685a713a
wil ##t chamberlain trophy,award,The Wil ##t Chamberlain Trophy is awarded to the NBA's Most Valuable Player.,adc21622-a110-47e1-a2e1-8610310e97c9
nba rookie of the year,award,The NBA Rookie of the Year Award is presented to the top first-year NBA player.,917f7dc1-c0ff-47e4-bde0-101aea9a3827
national basketball association,sports_league,The National Basketball Association (NBA) is a professional basketball league in North America.,23bd9fbe-01d7-4a10-85f5-e34d7096cde2
orlando magic,nba_team,"The Orlando Magic is a professional basketball team based in Orlando, Florida.",02606439-150d-4eaa-85d9-17cfaf1cf36e
toronto rap ##tors,nba_team,"The Toronto Rap ##tors is a professional basketball team based in Toronto, Ontario.",ca650775-327f-4554-9974-ec906843929f
charlotte hornets,nba_team,"The Charlotte Hornets is a professional basketball team based in Charlotte, North Carolina.",a8a247f7-91db-444e-a6e8-21ab645ef10e
memphis gr ##iz ##z ##lies,nba_team,"The Memphis Gr ##iz ##z ##lies is a professional basketball team based in Memphis, Tennessee.",5fd1c5ba-05bb-4a05-8f68-7e34758f598c
