source_entity,target_entity,relationship_type,relationship_description,source_entity_id,target_entity_id
rookie of the year,bet,Part-of,The NBA Rookie of the Year award is part of the betting options offered by sportsbooks,0af3ad90-c247-4043-94a1-ac5f1d355e91,ce63198f-dd2f-4af0-9c73-0ec2b32534d1
rookie of the year,mg,Unit-of-Measurement,The NBA Rookie of the Year award is measured in units of mass,0af3ad90-c247-4043-94a1-ac5f1d355e91,d5c752d6-0916-428d-bc6f-f24c2ea3065c
rookie of the year,m,Unit-of-Measurement,The NBA Rookie of the Year award is measured in units of length,0af3ad90-c247-4043-94a1-ac5f1d355e91,f229f093-c470-4014-9692-cb93b09e0907
deposit,customer service,Part-of,Customer service is part of the services offered by banks when customers make deposits,45002f70-bbd5-454b-be05-fc3e08250a90,b7018520-9c01-42ef-bf7b-6e69ad66da82
withdrawal,customer service,Part-of,Customer service is part of the services offered by banks when customers make withdrawals,d55b8c16-8ebe-48ca-adb1-da2b3820a303,b7018520-9c01-42ef-bf7b-6e69ad66da82
caesar ##s sports ##book,nba rot ##y betting,Part-of,NBA Rookie of the Year betting is part of the betting options offered by Caesars Sportsbook,373554ec-ed77-4b8d-96c0-f7ce1fe906ae,a2a24f17-70ac-4d8e-a385-04b219736f81
caesar ##s,nba rot ##y betting,Part-of,NBA Rookie of the Year betting is part of the betting options offered by Caesars Entertainment,7a7c27e1-dbde-4cca-a956-bf5289674b2e,a2a24f17-70ac-4d8e-a385-04b219736f81
caesar ##s,odds,Part-of,The NBA Rookie of the Year odds are set by Caesars Entertainment,7a7c27e1-dbde-4cca-a956-bf5289674b2e,238bf070-e55a-49d7-a5ba-71238ee674ff
nba,rot ##y,Part-of,The NBA Rookie of the Year award is part of the National Basketball Association,56481fab-1a9f-4bfd-bb7c-dc56580b2314,6136ae49-4635-4a4a-82c3-30b6f5ce3f53
rot ##y,promo ##s,Part-of,NBA Rookie of the Year betting promo ##s are part of the special offers or promotions provided by sportsbooks,6136ae49-4635-4a4a-82c3-30b6f5ce3f53,ef4d8d5c-96f9-4dc9-8b1c-5873685a713a
13 dec 202 ##3 02. 36 gm ##t,james wallace,Part-of,13 dec 202 ##3 02. 36 gm ##t is the time at which the news was presented by James Wallace,2d336e9c-a6f5-40eb-977e-e604d6984d62,765b973a-b189-496b-a69e-211d760904e6
13 dec 202 ##3 02. 36 gm ##t,england,Located-in,13 dec 202 ##3 02. 36 gm ##t is the time at which the cricket game took place in England,2d336e9c-a6f5-40eb-977e-e604d6984d62,0507e266-ab70-46bc-87d4-71f940e3a7e4
13 dec 202 ##3 02. 36 gm ##t,west indies,Located-in,13 dec 202 ##3 02. 36 gm ##t is the time at which the cricket game took place in the West Indies,2d336e9c-a6f5-40eb-977e-e604d6984d62,b58b60de-c773-429b-a3a2-6f37fdcf7cf7
13 dec 202 ##3 02. 36 gm ##t,grenada,Located-in,13 dec 202 ##3 02. 36 gm ##t is the time at which the second cricket match will take place in Grenada,2d336e9c-a6f5-40eb-977e-e604d6984d62,edf2ae9a-7d0a-47db-91ee-39ac1eefeca3
andre russell,rov ##man powell,Colleague-Relation,Andre Russell and ROV ##man Powell are colleagues as they played an important role in the cricket game,2de556cd-c237-4b5b-b398-660c68583397,c58bec23-3610-41a9-b1f0-9c9bd4226c6b
life,West Indies,Located-in,life is located in the West Indies,a0e66ba5-f84e-45da-9398-c529d7f737ef,eb42f1aa-3ca7-4df2-babb-e3a9870fbf01
Andre Russell,West Indies,Part-of,Andre Russell is a part of the West Indies,95563c02-f73a-4a6f-b2d8-d872511ed090,eb42f1aa-3ca7-4df2-babb-e3a9870fbf01
Andre Russell,Sam Curran,Friendship,Andre Russell and Sam Curran are friends,95563c02-f73a-4a6f-b2d8-d872511ed090,a962750e-4c3d-40dc-a604-20c2dfeee2db
Adi ##l Rashid,West Indies,Part-of,Adi ##l Rashid is a part of the West Indies,d5a8dba1-ae3e-4962-8d27-7eaf54f21019,eb42f1aa-3ca7-4df2-babb-e3a9870fbf01
ty ##mal mills,West Indies,Part-of,ty ##mal mills is a part of the West Indies,89752b94-88ed-43f4-b49e-093245d368a0,eb42f1aa-3ca7-4df2-babb-e3a9870fbf01
powell,West Indies,Part-of,powell is a part of the West Indies,96cf8489-8d41-4871-807f-276d7f673590,eb42f1aa-3ca7-4df2-babb-e3a9870fbf01
leg side,bowler,Part-of,The leg side is part of the bowling action,2e235a19-038f-4345-9b2e-111efda7fbb5,cac93a1e-4da0-42c0-8178-d0102c937c86
shot,fence,Located-in,The fence is located where the shot was hit,a930c317-5765-4178-9814-58cd8c6de8b5,3c329012-2875-4568-b44b-ae20ad124854
swiss clock timing,powell,Mentor-Protege,Swiss clock timing was Powell's mentor,bd27f5c9-bc01-4482-88fc-a568b7af5385,66e19993-b123-4f72-9944-d91a8576d4a0
